title,url,duration,thumbnail
3.2 Open Air Quality API in Node.js - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=Tiot877orkU,965,https://i.ytimg.com/vi/Tiot877orkU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAT770zX2nRUes4213SYUB_9v0xUQ
3.1 API calls from Node.js (Weather data from Dark Sky) - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=ZtLVbJk7KcM,1070,https://i.ytimg.com/vi/ZtLVbJk7KcM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbAAO3aDgr4wKT7tgsIDIWdtLrxw
2.7 Project Wrap-up: Accessibility and Design - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=1mnpn6q25FI,707,https://i.ytimg.com/vi/1mnpn6q25FI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQ-2Q8atb1ly_jbE8cIEnc6A2TsQ
2.6 Saving Images and Base64 Encoding - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=9Rhsb3GU2Iw,772,https://i.ytimg.com/vi/9Rhsb3GU2Iw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDywAk7HTytLgOJ4Ovr295vLNnpsw
2.5 Database Query - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=q-lUgFxwjEM,785,https://i.ytimg.com/vi/q-lUgFxwjEM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqCJM10MV9jMpMtO1DmHgRtaNmNw
2.4 Saving to a Database - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=xVYa20DCUv0,678,https://i.ytimg.com/vi/xVYa20DCUv0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJDMLGccCz-9l-wLeMgT9sPhQwTw
2.3 HTTP Post Request with fetch() - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=Kw5tC5nQMRY,962,https://i.ytimg.com/vi/Kw5tC5nQMRY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAK7rxJkUmqRULVmaixVK_FGqcuIw
2.2 Geolocation Web API - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=3ls013DBcww,904,https://i.ytimg.com/vi/3ls013DBcww/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8uFC1oKxiY9_Q04fVYIVwaVQBtw
2.1 Server-side with Node.js - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=wxbQP1LMZsw,1097,https://i.ytimg.com/vi/wxbQP1LMZsw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOT7jNj3e4uSBMnxRD4ZH3c9IUOg
1.6 Refreshing Data with setInterval() - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=jKQUHGpOHqg,524,https://i.ytimg.com/vi/jKQUHGpOHqg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLl0K3WVptbKMtqUGRHF6dKMvtIQ
1.5 Mapping Geolocation with Leaflet.js - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=nZaZ2dB6pow,922,https://i.ytimg.com/vi/nZaZ2dB6pow/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLQWI-U2hzjpkdTuli1jgRcX5VEw
1.4: JSON - Working with Data and APIs in JavaScript,https://www.youtube.com/watch?v=uxf0--uiX0I,982,https://i.ytimg.com/vi/uxf0--uiX0I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFnSvD84m3zDmAs5DcCxiF7M13ew
1.3: Graphing with Chart.js - Working With Data & APIs in JavaScript,https://www.youtube.com/watch?v=5-ptp9tRApM,1186,https://i.ytimg.com/vi/5-ptp9tRApM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDIfyvPuW_LLXPXW3qjtoBaVF3X-A
