title,url,duration,thumbnail
7.6: TensorFlow.js Color Classifier: Training Data Tensors (inputs),https://www.youtube.com/watch?v=rw_LVFpIzJg,610,https://i.ytimg.com/vi/rw_LVFpIzJg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAIxvaal16ShLALg8w-bMijcCTSQg
7.5: TensorFlow.js Color Classifier: Cleaning Data Part 3,https://www.youtube.com/watch?v=XZgaLBb4tQM,320,https://i.ytimg.com/vi/XZgaLBb4tQM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9Y2JclAPALuoa0ardzo2WsZbd0Q
7.4: TensorFlow.js Color Classifier: Cleaning Data Part 2,https://www.youtube.com/watch?v=gRNvA6c4ero,1220,https://i.ytimg.com/vi/gRNvA6c4ero/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB-qJ3kwXzipktKFSjFucKlysgazg
7.3: TensorFlow.js Color Classifier: Cleaning Data Part 1,https://www.youtube.com/watch?v=Xrhrn8HaFPI,1037,https://i.ytimg.com/vi/Xrhrn8HaFPI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCnWqe2qY9aJkQ_iqphG0591i-FwQ
7.2: TensorFlow.js Color Classifier: Saving Data to Firebase,https://www.youtube.com/watch?v=yXl0dM1b43s,692,https://i.ytimg.com/vi/yXl0dM1b43s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVaDmm4XSVlmAGOrf7Vir6YO9pHA
7.1: TensorFlow.js Color Classifier: Crowdsourcing Data,https://www.youtube.com/watch?v=y59-frfKR58,587,https://i.ytimg.com/vi/y59-frfKR58/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDy5sUgmc2wyA036MHrKEgGbEdUwA
Coding Challenge: Happy Tau Day!,https://www.youtube.com/watch?v=EZ--4rxpdrY,634,https://i.ytimg.com/vi/EZ--4rxpdrY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjhyj9tN4DzP1Mf6Y-IJnRURpxgA
Coding Challenge 108: Barnsley Fern,https://www.youtube.com/watch?v=JFugGF1URNo,1027,https://i.ytimg.com/vi/JFugGF1URNo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCc73uFHvIyUrqAn6YbyJN_8tVJoQ
Coding Challenge #107: Sandpiles,https://www.youtube.com/watch?v=diGjw5tghYU,1281,https://i.ytimg.com/vi/diGjw5tghYU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDP0HUro9vwUQ8ZtCrK1R76TYazHQ
Coding Challenge #106: XOR Problem with TensorFlow.js,https://www.youtube.com/watch?v=N3ZnNa01BPM,3107,https://i.ytimg.com/vi/N3ZnNa01BPM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2UjGl9EEYtbeQj4PubBJDPn79tQ
6.6: TensorFlow.js: Layers API Part 2 - Intelligence and Learning,https://www.youtube.com/watch?v=iUiOx2fBx18,1738,https://i.ytimg.com/vi/iUiOx2fBx18/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1qcqO_c1M1ClpAXizb8HtKV7Xew
6.5: TensorFlow.js: Layers API Part 1 - Intelligence and Learning,https://www.youtube.com/watch?v=F4WWukTWoXY,1562,https://i.ytimg.com/vi/F4WWukTWoXY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAijF8AgPy67SgVxZ5MM7gbMaw_hw
Coding Challenge #105: Polynomial Regression with TensorFlow.js,https://www.youtube.com/watch?v=tIXDik5SGsI,1299,https://i.ytimg.com/vi/tIXDik5SGsI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyzJ6FnEFWXTdDaJtvUwxNw2Kcww
16.16: try / catch with Promises - Topics of JavaScript/ES6,https://www.youtube.com/watch?v=BztW_u6HDbs,448,https://i.ytimg.com/vi/BztW_u6HDbs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAE7ydMKxBdcdlKNiErF71Kyumz0g
16.15: Promise.all() - Topics of JavaScript/ES6,https://www.youtube.com/watch?v=01RTj1MWec0,704,https://i.ytimg.com/vi/01RTj1MWec0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4HsGz687mIMU5XB0NzUElzOef2Q
16.14: async/await Part 2 - Topics of JavaScript/ES8,https://www.youtube.com/watch?v=chavThlNz3s,608,https://i.ytimg.com/vi/chavThlNz3s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDHQkZYO07wIqicy1iFp2c9idCOA
16.13: async/await Part 1 - Topics of JavaScript/ES8,https://www.youtube.com/watch?v=XO77Fib9tSI,401,https://i.ytimg.com/vi/XO77Fib9tSI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAoIlSo8SAu_XlhA8MLCMmb9s82kg
Coding Challenge #104: Linear Regression with TensorFlow.js,https://www.youtube.com/watch?v=dLp10CFIvxI,2625,https://i.ytimg.com/vi/dLp10CFIvxI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7HqH9yjbLGLO6cGU00Vy6NBUfHg
16.12: Promises Part 2 - Topics of JavaScript/ES6,https://www.youtube.com/watch?v=AwyoVjVXnLk,710,https://i.ytimg.com/vi/AwyoVjVXnLk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDKd8Qpua3me2RXw_nLbc7S1E8hGQ
16.11: Promises Part 1 - Topics of JavaScript/ES6,https://www.youtube.com/watch?v=QO4NXhWo_NM,1493,https://i.ytimg.com/vi/QO4NXhWo_NM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7B5Y7LBbRJCesUR6McSNHr68c2w
ITP Spring Show 2018,https://www.youtube.com/watch?v=qVYd1HQFcGg,1220,https://i.ytimg.com/vi/qVYd1HQFcGg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnuir1U82LlWq3ntZmGT15jk6r1A
Live Stream Archive - ITP Spring Show 2018 (Better Audio),https://www.youtube.com/watch?v=YVmVYuUj6yE,7529,https://i.ytimg.com/vi/YVmVYuUj6yE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA6C2sYO2tixCutzpywEuU9APlTXQ
Coding Challenge #103: Fire Effect,https://www.youtube.com/watch?v=X0kjv0MozuY,1776,https://i.ytimg.com/vi/X0kjv0MozuY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAaeTc-wvAh-RaQO2pWtZALUKJP2g
6.4: TensorFlow.js: Memory Management - Intelligence and Learning,https://www.youtube.com/watch?v=FbSlrm2GmC8,803,https://i.ytimg.com/vi/FbSlrm2GmC8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHODol3vzr3f6Ka_Jvf5CpnPEJXA
6.3: TensorFlow.js: Variables & Operations - Intelligence and Learning,https://www.youtube.com/watch?v=KzWF_wzx9PU,1222,https://i.ytimg.com/vi/KzWF_wzx9PU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAEHxIVecST_qJdWoO3EWrXVCog4Q
Coding Challenge 102: 2D Water Ripple,https://www.youtube.com/watch?v=BZUdGqeOD0w,1037,https://i.ytimg.com/vi/BZUdGqeOD0w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqmIPJWKcrqJrlBIIMIFQ7s1ESBw
